"lat","lon","objectid","base","perimeter","area"
44.6816424356,-84.7276786991,3604,"NG Grayling Airfield",4.96602298,1.44081907
46.2108188793,-94.4252675838,3746,"NG Camp Ripley",91.52429311,82.43455153
39.7713454952,-85.5168694395,3858,"NG Knightstown",3.98199214,0.60557005
39.2975804442,-86.0464169812,3859,"NG Camp Atterbury",41.2768468,54.70204954
35.3734788352,-106.652026372,4404,"NG Rio Rancho TS",1.84489447,0.18650518
40.1238242063,-74.0373077638,4634,"NG Sea Girt NJ NGTC",2.38799542,0.27220755
36.2909200901,-115.041255853,4690,"NG Floyd Edsall Training Center",8.56167604,2.61604132
19.7065531733,-155.038477564,5118,"NG TS Keaukaha Mil Res",6.70610147,0.78726665
32.7688101038,-97.4336577395,5504,"NAS Fort Worth JRB TX",10.22592192,2.68375937
30.6093001746,-86.9388110937,5555,"NOLF Santa Rosa",5.49460292,1.16497294
34.1123267884,-119.110013772,5672,"NAVBASE Ventura Cty Point Mugu CA",15.12018715,6.98976662
32.3890480095,-80.681975435,5689,"NAVSUPPFAC Beaufort SC",1.90957695,0.18869564
38.6584730674,-76.5320162332,5699,"Chesapeake Bay Detach",2.53268077,0.27562962
37.4129145643,-122.028398714,5722,"NAVPMOSSP Mtn View",1.08032422,0.07722918
32.6175524438,-83.5815847711,5999,"Robins AFB",18.31583053,10.47149268
34.6328507804,-86.6571701025,4,"Redstone Arsenal",36.82437325,59.65636472
31.567419034,-110.329649033,41,"Fort Huachuca",76.52089724,126.24498888
31.2786073023,-85.7149945144,67,"Cairns Basefield AL",7.26037498,2.01590342
31.3403853788,-86.091887871,74,"Runkle Stagefield AL",2.81278647,0.40943928
21.3618785619,-157.911388913,164,"Aliamanu Military Reservation",5.87763715,0.92467372
21.5762316637,-158.198775803,167,"Dillingham Mil Res",5.47414425,0.96697142
37.4187717327,-77.447528995,572,"Def Gen Supply Center",6.3406374,0.89470004
32.2838712304,-84.9548431105,579,"Fort Benning AL",29.08141831,19.31206884
31.5484913702,-81.6199877022,1082,"TBR Main",228.60596022,128.6658504
43.1001011135,-76.1210991111,1213,"Syracuse MCRC",1.09136432,0.06630363
35.4036965841,-97.3603027818,1696,"Tinker Support Annex",1.95160534,0.2054024
33.9811703229,-77.9164586721,1787,"Fort Fisher Recreation Site",1.91609877,0.06505427
32.5002809582,-93.5999413403,1806,"Barksdale AFB",28.93687611,34.29115123
34.3840149372,-103.321106281,2461,"Cannon AFB",12.80012055,6.34170532
34.4091917117,-103.328244295,2465,"Cannon AFB Site 2",2.82718202,0.4416304
33.7159742765,-112.527923384,2598,"Luke Air Force Auxiliary Field No 1",5.20833523,1.1827716
30.4107264037,-89.0612086467,2943,"Gulfport-Biloxi Regional Airport (ANG)",2.098962,0.1685382
44.0862933486,-70.2827983551,3249,"NG Auburn Training Site",3.1868109,0.27550695
44.8095482939,-68.8333959892,3403,"NG Bangor Training Site",4.17443097,0.32135006
35.5697139671,-106.081041964,3659,"NG Santa Fe - Onate Complex TS",3.4606317,0.51806938
38.5475743328,-75.0633012841,3686,"NG TS BBTS",1.55724515,0.156022
47.1167164937,-122.56884003,4709,"NG Camp Murray",3.79694678,0.36012408
39.3531258872,-81.4421100584,4835,"NG Williamstown",2.63769526,0.16075273
30.3186106075,-97.7615720588,4879,"NG Camp Mabry",3.51353317,0.57523732
43.7618744147,-98.0438934226,4993,"NG Mitchell Complex",1.30289084,0.09472833
32.5624031522,-117.112009859,5360,"Imperial Beach NOLF",7.49933392,1.88222068
36.3191796478,-119.93398605,5431,"NAS Lemoore CA",29.43698735,28.68363602
32.7246963035,-117.218431918,5628,"Harbor Drive",1.60479076,0.10355526
38.4161872655,-90.3986079959,5981,"NGA Arnold Site",0.9408039,0.05376326
36.2692051709,-114.98483901,6075,"Nellis AFB",47.38528664,29.83938631
47.5555933853,-122.652356505,6166,"Naval Base Kitsap Bremerton WA",5.18728579,0.62789168
37.9070173886,-85.8831225305,52,"Fort Knox",85.35675698,170.00750726
37.7054875554,-92.1571252371,58,"Fort Leonard Wood",51.59341215,96.41521477
31.4040790084,-85.7473894209,68,"Fort Rucker AL",60.30741551,90.88878916
42.4973285111,-83.0413341243,610,"Detroit Arsenal",2.55583336,0.28746763
63.9667780882,-145.715113744,646,"Fort Greely",16.6596204,10.67476022
43.0813485814,-70.7333351232,1364,"NSY Portsmouth",7.00352791,0.5000837
41.7536642401,-70.539124869,1674,"Cape Cod Air Station",3.71654684,0.15131146
33.8931849532,-118.070170962,1800,"Norwalk 2",1.09520406,0.07821894
39.4481861918,-74.5814031458,2772,"Atlantic City IAP",3.86036065,0.46246532
38.3731944221,-81.5895194077,2903,"Yeager Airport",2.20015732,0.19296441
33.7222321357,-84.358887856,3027,"NG Atlanta - Confederate Ave",2.30970448,0.10686207
40.2146157734,-75.4284194801,3097,"NG Collegeville FMS 4",1.17466434,0.08080989
33.4645500341,-112.601760483,3276,"NG Buckeye TS",8.93831033,2.34453102
33.6173832012,-84.309923744,3366,"NG Oglethorpe Armory",1.11264814,0.05061777
